despreciativo	1923058	neg
despreocupacion	5598666	neg
despreocupado	766569	pos
desprestigiador	1114802	neg
desprestigiar	574499	neg
desprestigio	679287	neg
desprevenido	1864302	neg
desprovisto	927978	neg
desquiciado	1405188	pos
destacarse	2673965	pos
destapado	1388212	neg
destructividad	4023878	neg
destructivo	552895	neg
destructor	552895	neg
desvalido	7382255	neg
desvelado	1282082	pos
desventaja	4021143	neg
detectable	1684194	pos
deteriorado	1221853	neg
deuteranopia	10179817	neg
devastacion	620923	neg
devastador	552895	neg
devocion	3821274	pos
devoto	486658	pos
diabetico	2810446	neg
diablura	474950	neg
diabolico	1084941	neg
diacritico	738087	pos
diagonalizable	2556583	pos
difamacion	5038666	neg
difamador	1114802	neg
difamatorio	1114802	neg
diferencia	3731027	neg
diferenciable	549348	pos
diferente	1354496	neg
difteria	10160390	neg
dignidad	3827814	pos
dignificar	1736499	pos
dilacion	5062370	neg
diletante	1802968	pos
diligencia	633329	pos
diligente	1673086	pos
diluido	720464	neg
dipsnea	10310256	neg
discapacidad	10432352	neg
discapacitado	967283	neg
discernible	548560	pos
discernidor	738087	pos
disconforme	78335	neg
discordante	518922	neg
discrepante	519085	neg
discreto	1916045	pos
discriminar	2193765	neg
discutible	1728405	pos
disenteria	10164288	neg
disfemistico	863288	neg
disfrute	846326	pos
disfuerzo	3837903	neg
disgustoso	1737080	neg
disidente	1630831	pos
disimilar	1354054	neg
disimulado	1643356	neg
disimulador	2096523	neg
dislocacion	10265793	neg
disoluto	1485730	neg
disonancia	3895270	neg
disonante	1443392	neg
dispar	1988894	pos
disparejo	866524	neg
dispepsia	10287668	neg
dispeptico	1087302	neg
disperso	561850	neg
disponibilidad	4644719	pos
disputable	1728405	pos
distanciamiento	10343867	neg
distendido	1125568	neg
distinguible	549026	pos
distinguirse	1824467	pos
distinto	1354496	neg
distraccion	3676822	neg
disturbar	259755	neg
disuadir	1819147	neg
divinidad	3804615	pos
doblez	3814020	neg
docil	1821586	pos
docilidad	3841165	pos
doctrinario	1270978	neg
dolido	1312115	neg
dolor	5602190	neg
dolorido	1648713	neg
doma	4441097	pos
domesticable	2331312	pos
dominante	787136	neg
donar	1548161	pos
Dostoevski	7710136	neg
dotado	1119192	pos
dramatismo	3650230	pos
duda	4757522	neg
duplicidad	3814020	neg
dureza	3706350	neg
edema	10275482	neg
edematoso	1127240	neg
edificante	1271812	pos
educacion	3851783	pos
eficiencia	5644527	pos
egoismo	3789602	neg
elaborado	1794340	pos
elegancia	3775871	pos
elemental	619392	pos
eliminar	1691743	neg
emancipador	1933574	pos
embarazoso	1731686	neg
embarrar	854595	neg
embaucar	1756134	neg
embergadura	3717355	pos
embrollar	2678287	neg
embustero	7370590	neg
emetico	3283519	neg
emocionado	872317	pos
emotividad	3649877	pos
emotivo	813486	pos
empacho	10287668	neg
empalagar	811919	pos
empeorar	182841	pos
emporcar	1055474	neg
emprendedor	107565	pos
enajenado	1402839	neg
enaltecer	1736499	pos
enanismo	10406708	neg
enardecedor	2196244	pos
encandilamiento	5597153	neg
encantado	824085	neg
encarecimiento	4009070	pos
encefalitis	10292976	neg
enclenque	2215573	neg
encogimiento	3830059	neg
encomiable	2462042	pos
encrespado	299678	neg
encubierto	1643356	neg
endeble	2215573	neg
endiablado	1731208	neg
enfangar	854595	neg
enfasis	10356373	pos
enfermizo	2314539	neg
enfurecer	1225491	neg
enfurrunarse	1231478	neg
enganar	1755765	neg
engatusar	1756134	neg
enlodar	854595	neg
enlodazar	854595	neg
enmienda	811999	neg
enmugrecer	1055474	neg
ennoblecedor	1531216	pos
ennoblecer	2546876	pos
enormidad	3803253	neg
enredar	2678287	neg
enrevesado	2093020	neg
enriquecer	171586	pos
ensuciar	1055474	neg
entendido	736694	pos
enteritis	10293293	neg
entrampar	1480770	neg
entrega	3821274	pos
entretener	1698559	pos
entristecido	1311729	neg
entusiasmado	1310866	neg
envilecedor	1177007	neg
envilecido	586046	neg
epicureo	1245682	pos
equidad	3792988	pos
equilibrado	893441	pos
equivocado	596241	neg
equivoquista	7516979	neg
ergotismo	10225182	neg
erisipela	10225021	neg
